locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Elsene,Duplex,,1450,rent,1,62,1,1,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/1050/elsene/vwd16749
Watermaal-Bosvoorde,Apartment,,2100,rent,2,141,0,0,0,1,20,0,0,https://immovlan.be/en/detail/apartment/for-rent/1170/watermaal-bosvoorde/vbd91151
Brussels,Apartment,,880,rent,1,45,0,0,0,1,7,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd91163
Namur,Apartment,,950,rent,2,90,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/5000/namur/vbd91135
Namur,Residence,,1250,rent,4,143,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/5000/namur/vbd91131
Elsene,Apartment,,3400,rent,4,205,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91153
Wanfercée-Baulet,Ground,,630,for,1,50,0,0,0,0,0,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/6224/wanfercee-baulet/vbd91173
Sint-Lambrechts-Woluwe,Apartment,,1500,rent,3,124,0,0,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd91145
Antwerp,Apartment,,1220,rent,2,109,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rbv35121
Antwerp,Apartment,,900,rent,2,91,0,0,1,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2020/antwerp/rbv35117
Antwerp,Studio,,600,rent,1,52,0,0,0,1,6,0,0,https://immovlan.be/en/detail/studio/for-rent/2018/antwerp/rbv35119
Sint-Lambrechts-Woluwe,Penthouse,,2650,rent,3,157,0,0,0,1,20,0,0,https://immovlan.be/en/detail/penthouse/for-rent/1200/sint-lambrechts-woluwe/vbd91146
Elsene,Apartment,,1350,rent,1,100,0,0,0,1,11,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd91172
Andenne,Residence,,1250,rent,4,143,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/5300/andenne/vbd91132
Verviers,Bungalow,,1050,rent,2,0,0,0,0,1,,1,,https://immovlan.be/en/detail/bungalow/for-rent/4800/verviers/vbd91140
Antwerp,Apartment,,820,rent,1,89,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/rbv35120
Watermaal-Bosvoorde,Residence,,2300,rent,4,220,0,0,0,1,5,1,50,https://immovlan.be/en/detail/residence/for-rent/1170/watermaal-bosvoorde/vbd91171
