locality,property_type,subtype,price,type_of_sale,nb_rooms,living_area,kitchen_equipped,furnished,open_fire,terrace,terrace_area,garden,garden_area,url
Knesselare,Apartment,,4810,rent,2,269,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/9910/knesselare/rwc41905
Tinlot,Residence,,750,rent,3,130,0,0,0,1,,1,,https://immovlan.be/en/detail/residence/for-rent/4557/tinlot/vbd90869
Tubize,Apartment,,875,rent,2,80,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1480/tubize/vbd90875
Sint-Pieters-Woluwe,Apartment,,1250,rent,1,76,1,1,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/1150/sint-pieters-woluwe/vbd90851
Seraing,Apartment,,935,rent,2,95,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/4100/seraing/rwc41898
Sougné-Remouchamps,Apartment,,750,rent,2,68,0,0,0,1,5,0,0,https://immovlan.be/en/detail/apartment/for-rent/4920/sougne-remouchamps/vwd16746
Bouillon,Apartment,,750,rent,2,70,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/6830/bouillon/vbd90805
Bouillon,Apartment,,850,rent,2,80,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/6830/bouillon/vbd90803
Sint-Lambrechts-Woluwe,Apartment,,2100,rent,2,97,1,1,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90818
Strombeek-Bever,Apartment,,895,rent,1,55,0,0,0,0,0,1,,https://immovlan.be/en/detail/apartment/for-rent/1853/strombeek-bever/rbv34967
Mons,Ground,,500,for,1,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/ground-floor/for-rent/7000/mons/vwd16744
Etterbeek,Apartment,,2100,rent,2,97,1,1,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90819
Etterbeek,Apartment,,1850,rent,2,79,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90821
Sint-Pieters-Woluwe,Apartment,,1600,rent,2,100,0,0,0,1,7,0,0,https://immovlan.be/en/detail/apartment/for-rent/1150/sint-pieters-woluwe/vbd90830
Ciney,Residence,,90000,public,3,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/in-public-sale/5590/ciney/vbd90832
Etterbeek,Apartment,,1750,rent,2,79,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90817
Gent,Studio,,675,rent,1,30,0,0,0,0,0,0,0,https://immovlan.be/en/detail/studio/for-rent/9000/gent/rbv35036
Sint-Lambrechts-Woluwe,Apartment,,1850,rent,2,79,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90820
Mouscron,Residence,,1200,rent,4,205,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/7700/mouscron/vbd90789
Antwerp,Apartment,,1900,rent,1,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd90782
Antwerp,Apartment,,1600,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2018/antwerp/vbd90770
Antwerp,Apartment,,2000,rent,1,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/2000/antwerp/vbd90779
Sint-Lambrechts-Woluwe,Apartment,,1200,rent,2,70,0,0,0,1,2,0,0,https://immovlan.be/en/detail/apartment/for-rent/1200/sint-lambrechts-woluwe/vbd90702
Heusden-Zolder,Bungalow,,1100,rent,2,164,0,0,0,0,0,0,0,https://immovlan.be/en/detail/bungalow/for-rent/3550/heusden-zolder/rbv34963
Etterbeek,Apartment,,1600,rent,3,115,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1040/etterbeek/vbd90762
Elsene,Apartment,,1600,rent,2,105,1,1,0,1,9,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90740
Sint-Jans-Molenbeek,Ground,,980,for,1,66,0,0,0,1,10,1,100,https://immovlan.be/en/detail/ground-floor/for-rent/1080/sint-jans-molenbeek/rbv34540
Brussels,Apartment,,1700,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90783
Brussels,Apartment,,1400,rent,0,0,1,1,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbd90780
Oostende,Residence,,895,rent,2,0,0,0,0,0,0,0,0,https://immovlan.be/en/detail/residence/for-rent/8400/oostende/rbv34933
Elsene,Apartment,,1300,rent,2,115,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90746
Deurne,Duplex,,810,rent,1,70,0,0,0,0,0,0,0,https://immovlan.be/en/detail/duplex/for-rent/2100/deurne/rbv34595
Sint-Kruis,Apartment,,1150,rent,3,132,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/8310/sint-kruis/rbv34535
Sint-Kruis,Apartment,,1300,rent,3,0,0,0,0,1,,1,,https://immovlan.be/en/detail/apartment/for-rent/8310/sint-kruis/rbv34534
Sint-Lambrechts-Woluwe,Residence,,1950,rent,3,111,0,0,0,1,11,1,52,https://immovlan.be/en/detail/residence/for-rent/1200/sint-lambrechts-woluwe/vbd90758
Schaarbeek,Apartment,,1400,rent,1,85,1,1,0,1,30,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90686
Namur,Apartment,,675,rent,1,68,0,0,0,1,4,0,0,https://immovlan.be/en/detail/apartment/for-rent/5000/namur/vbd90662
Mechelen,Apartment,,1150,rent,3,115,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/2800/mechelen/rbv34514
Elsene,Apartment,,3400,rent,4,205,0,0,0,1,8,0,0,https://immovlan.be/en/detail/apartment/for-rent/1050/elsene/vbd90684
Mettet,Apartment,,1000,rent,2,83,0,0,0,1,10,0,0,https://immovlan.be/en/detail/apartment/for-rent/5640/mettet/vbd90674
Ukkel,Apartment,,1200,rent,1,61,0,0,0,0,0,0,0,https://immovlan.be/en/detail/apartment/for-rent/1180/ukkel/vbd90680
Sint-Jans-Molenbeek,Apartment,,1250,rent,2,82,0,0,0,1,,0,0,https://immovlan.be/en/detail/apartment/for-rent/1080/sint-jans-molenbeek/vbd90681
Schaarbeek,Apartment,,1900,rent,2,90,1,1,0,1,40,0,0,https://immovlan.be/en/detail/apartment/for-rent/1030/schaarbeek/vbd90688
